COLLEGE,INCOME,OVERAGE,LEFTOVER,HOUSE,HANDSET_PRICE,OVER_15MINS_CALLS_PER_MONTH,AVERAGE_CALL_DURATION,REPORTED_SATISFACTION,REPORTED_USAGE_LEVEL,CONSIDERING_CHANGE_OF_PLAN,CHURN
one,62412,0,0,307866,287,1,9,very_sat,very_high,considering,LEAVE
zero,66585,0,71,265504,271,24,1,sat,very_high,considering,LEAVE
zero,72474,80,68,191031,749,4,2,avg,very_little,considering,LEAVE
zero,40898,32,0,853353,260,5,9,very_unsat,very_high,no,STAY
one,117909,0,84,292771,774,0,13,very_sat,very_little,actively_looking_into_it,STAY
one,122497,0,0,253250,456,1,10,very_sat,very_high,actively_looking_into_it,LEAVE
zero,34355,0,76,381006,134,1,6,avg,little,actively_looking_into_it,STAY
zero,120269,160,0,172953,417,15,15,very_unsat,very_little,considering,LEAVE
zero,113371,0,46,276076,454,1,2,unsat,little,actively_looking_into_it,STAY
zero,22267,37,23,220073,233,3,6,avg,little,considering,LEAVE
one,124134,161,0,264916,466,26,10,avg,very_high,considering,LEAVE
one,41102,0,24,248538,142,0,4,avg,high,considering,STAY
one,23630,0,0,921948,158,0,13,very_unsat,little,considering,STAY
one,120346,0,10,568914,758,0,4,unsat,avg,perhaps,STAY
zero,142358,0,10,273965,750,24,6,very_sat,very_high,considering,STAY
one,45347,56,66,768301,177,4,2,very_sat,very_little,actively_looking_into_it,STAY
zero,21911,224,0,717289,202,24,14,unsat,avg,considering,STAY
zero,99184,205,14,562724,292,16,5,unsat,little,actively_looking_into_it,LEAVE
zero,159202,201,24,688576,536,16,5,very_sat,very_high,considering,LEAVE
one,23503,198,23,436365,153,14,4,unsat,very_little,no,STAY
zero,60780,47,88,539784,288,3,1,very_unsat,little,considering,STAY
zero,138517,0,17,215439,524,1,5,very_sat,very_little,considering,STAY
zero,36588,47,27,281994,158,4,2,very_unsat,very_high,considering,STAY
zero,43257,166,33,283794,236,23,2,very_unsat,little,no,LEAVE
zero,21882,0,55,928475,201,5,2,very_unsat,little,considering,LEAVE
zero,135822,0,0,264297,600,1,9,very_unsat,high,considering,LEAVE
zero,131811,0,0,471931,845,1,13,very_sat,little,actively_looking_into_it,LEAVE
one,150328,0,16,723585,460,1,5,unsat,little,considering,STAY
one,96060,188,0,469774,339,12,9,unsat,little,perhaps,STAY
one,51181,159,19,188183,324,29,5,very_unsat,little,no,LEAVE
one,105218,46,0,730866,636,5,6,unsat,very_little,no,STAY
one,114768,0,0,724116,485,0,9,very_sat,very_high,actively_looking_into_it,LEAVE
one,125677,194,40,597988,609,23,1,very_sat,little,never_thought,STAY
zero,108693,0,43,539779,632,4,2,avg,very_little,considering,STAY
zero,150163,206,0,980513,455,29,12,very_sat,avg,actively_looking_into_it,LEAVE
zero,37751,0,14,630865,171,0,6,very_unsat,high,no,STAY
zero,86896,0,88,511226,354,0,2,very_sat,little,considering,STAY
one,123179,199,13,375526,730,4,4,very_unsat,little,considering,LEAVE
one,138731,145,5,371313,270,19,6,very_unsat,little,actively_looking_into_it,STAY
one,124779,0,22,575432,570,0,4,very_unsat,little,actively_looking_into_it,STAY
zero,127697,61,60,866457,777,4,2,very_unsat,very_little,considering,STAY
one,134855,214,24,315251,620,19,4,very_sat,little,considering,STAY
one,33406,55,0,168170,185,4,14,unsat,little,perhaps,LEAVE
zero,129126,168,0,200047,657,23,13,unsat,very_little,considering,STAY
zero,102553,44,0,470582,607,3,10,very_sat,very_high,never_thought,STAY
one,102704,52,0,203591,485,5,15,sat,little,considering,LEAVE
one,112005,0,20,190594,687,1,6,very_unsat,little,no,STAY
one,70807,56,44,838186,325,4,1,unsat,very_little,no,STAY
one,34456,96,0,623643,184,3,12,very_unsat,very_high,considering,STAY
zero,157222,64,78,226844,607,4,2,very_sat,very_little,never_thought,LEAVE
zero,135963,51,0,428696,771,4,11,unsat,little,considering,LEAVE
one,38983,0,47,491797,237,1,2,unsat,very_high,considering,STAY
zero,58385,254,8,289729,261,16,6,very_sat,little,considering,LEAVE
one,107020,0,20,174178,453,0,4,avg,very_little,considering,STAY
one,94561,214,69,295788,335,27,1,very_unsat,very_little,considering,LEAVE
zero,23239,208,33,795833,287,25,1,avg,little,considering,STAY
one,31210,0,0,879805,241,0,10,very_unsat,avg,considering,STAY
zero,157415,235,0,642358,450,21,15,sat,very_high,no,STAY
one,111076,232,73,286606,812,3,1,very_sat,very_high,considering,LEAVE
zero,108678,69,0,740816,529,4,9,very_sat,very_high,actively_looking_into_it,STAY
one,159279,0,15,346993,847,1,6,very_unsat,little,actively_looking_into_it,STAY
one,110730,67,21,882762,415,4,5,very_unsat,little,actively_looking_into_it,LEAVE
one,97245,0,74,258275,376,1,2,very_unsat,little,considering,LEAVE
one,86951,217,80,586711,319,15,1,unsat,little,actively_looking_into_it,STAY
one,51458,162,0,522983,352,20,12,avg,high,considering,LEAVE
one,32665,0,50,422135,175,0,1,avg,little,no,LEAVE
one,158526,0,26,516712,644,1,1,very_sat,little,actively_looking_into_it,STAY
zero,38866,161,16,710065,269,29,6,very_sat,very_high,considering,STAY
zero,94471,0,0,441503,313,1,5,very_unsat,little,considering,STAY
one,50239,64,7,306267,553,4,6,very_sat,little,considering,STAY
one,113485,62,24,952516,480,4,5,unsat,very_high,considering,LEAVE
one,108177,65,43,644289,175,4,1,very_sat,little,considering,LEAVE
one,84075,151,56,203681,313,29,1,very_unsat,very_little,considering,STAY
zero,47405,193,16,177566,242,23,6,avg,little,actively_looking_into_it,LEAVE
zero,71433,48,57,353284,343,5,1,unsat,very_little,perhaps,LEAVE
zero,28201,0,23,287408,184,0,6,avg,little,considering,STAY
zero,81130,111,68,463193,358,14,5,sat,very_high,no,LEAVE
one,67665,0,0,721417,388,0,13,very_sat,very_high,never_thought,LEAVE
zero,26734,0,0,173124,178,1,9,very_sat,little,actively_looking_into_it,LEAVE
zero,55842,0,13,501475,379,0,6,very_unsat,very_high,actively_looking_into_it,STAY
one,80646,220,25,866738,339,3,2,unsat,little,no,STAY
zero,110595,109,17,497755,859,18,4,unsat,avg,actively_looking_into_it,LEAVE
zero,157308,62,28,960788,788,5,1,very_unsat,little,considering,LEAVE
one,29634,77,37,571669,223,3,1,unsat,very_little,considering,LEAVE
zero,28569,162,13,497676,137,13,13,very_unsat,little,considering,LEAVE
zero,119854,0,10,199373,418,1,2,very_unsat,little,considering,STAY
one,155487,235,13,285334,493,20,5,very_unsat,avg,considering,LEAVE
one,134865,60,24,494771,779,5,4,very_unsat,very_high,no,STAY
zero,37019,0,0,659505,184,0,13,unsat,very_high,actively_looking_into_it,STAY
zero,66359,36,19,853921,383,4,4,very_sat,very_little,never_thought,STAY
zero,133615,175,0,194450,223,15,13,unsat,little,considering,LEAVE
zero,104765,233,14,207725,755,17,6,avg,little,never_thought,LEAVE
zero,54003,0,0,391176,393,1,14,unsat,little,actively_looking_into_it,STAY
zero,31124,0,23,794015,236,0,13,avg,very_high,actively_looking_into_it,STAY
zero,31945,228,60,174646,166,18,1,unsat,very_high,considering,LEAVE
zero,50052,62,0,270300,365,5,15,unsat,little,no,STAY
zero,34148,186,21,369813,199,23,4,very_sat,very_little,considering,STAY
one,61206,68,0,546344,271,3,11,avg,very_high,considering,LEAVE
one,158533,0,6,796976,621,0,4,very_unsat,very_high,actively_looking_into_it,STAY
one,125886,48,43,676042,561,5,1,very_unsat,very_high,considering,LEAVE
one,119368,57,0,395194,169,3,15,very_sat,little,no,LEAVE
zero,159954,26,24,299070,804,5,1,very_unsat,very_high,considering,STAY
zero,24921,97,26,183334,194,3,1,very_sat,little,considering,LEAVE
zero,35468,0,62,559911,218,1,2,very_sat,little,never_thought,LEAVE
one,35659,190,87,818820,239,13,1,sat,very_high,never_thought,STAY
zero,122448,66,56,246239,506,13,1,very_unsat,little,considering,STAY
zero,112741,195,0,209362,774,22,15,very_sat,little,considering,LEAVE
one,41863,194,7,459256,165,29,5,very_sat,very_little,no,LEAVE
one,49672,40,0,680455,195,5,15,unsat,little,actively_looking_into_it,STAY
zero,124694,83,84,380001,227,4,1,unsat,avg,considering,STAY
one,68113,212,85,222910,314,18,2,very_unsat,little,actively_looking_into_it,LEAVE
zero,80899,74,17,265832,397,3,5,very_unsat,very_little,considering,LEAVE
zero,25350,238,44,712470,206,13,1,very_unsat,little,perhaps,STAY
one,33669,0,36,548339,185,0,2,unsat,little,considering,LEAVE
one,73074,0,52,524928,308,0,1,very_unsat,high,considering,LEAVE
zero,83800,47,30,357546,390,4,1,very_unsat,very_little,considering,STAY
one,61919,158,9,172870,307,14,5,sat,little,actively_looking_into_it,LEAVE
one,77834,43,16,982604,377,3,4,very_unsat,very_little,never_thought,STAY
one,95152,0,14,236771,286,0,5,unsat,little,considering,STAY
one,42791,160,0,498162,205,22,8,unsat,little,never_thought,LEAVE
zero,142382,0,17,242631,606,0,6,unsat,avg,actively_looking_into_it,LEAVE
zero,113868,53,0,260424,646,3,14,very_sat,very_little,never_thought,LEAVE
one,88888,35,0,275588,360,5,8,unsat,high,considering,LEAVE
zero,76781,58,80,233642,399,17,1,very_sat,very_high,considering,LEAVE
zero,144653,0,60,293569,852,1,2,very_unsat,very_high,considering,STAY
one,94880,179,54,370388,391,11,1,very_unsat,very_high,considering,LEAVE
one,105695,226,40,252537,560,24,4,very_unsat,high,actively_looking_into_it,LEAVE
one,42540,203,48,533603,784,19,2,unsat,little,no,LEAVE
one,23479,203,0,172084,142,12,14,very_sat,little,perhaps,LEAVE
one,71546,250,0,974564,273,4,12,avg,very_high,actively_looking_into_it,LEAVE
one,150743,177,38,172870,657,22,2,very_unsat,very_little,perhaps,LEAVE
zero,23802,205,0,884410,167,13,9,very_unsat,very_little,actively_looking_into_it,STAY
zero,30510,58,28,253591,236,5,1,very_unsat,avg,no,LEAVE
zero,133550,34,59,466834,763,3,2,very_unsat,little,never_thought,STAY
one,42159,51,73,772722,305,5,1,very_sat,little,considering,STAY
one,37252,245,24,276917,214,20,4,very_unsat,very_little,no,STAY
zero,64565,212,84,163422,331,11,2,very_sat,very_little,perhaps,STAY
zero,36507,53,26,379453,201,27,1,avg,avg,considering,STAY
zero,49640,197,51,400846,234,25,6,very_unsat,little,considering,LEAVE
one,64490,0,0,559601,371,1,13,very_unsat,very_high,never_thought,STAY
one,92758,159,38,755862,297,15,2,unsat,little,never_thought,STAY
zero,150930,0,0,221740,625,1,9,unsat,avg,considering,LEAVE
zero,43044,0,0,426349,227,0,10,unsat,very_high,actively_looking_into_it,STAY
zero,97802,231,66,254546,383,24,2,very_sat,high,actively_looking_into_it,LEAVE
one,42683,176,45,929584,165,19,1,unsat,very_little,actively_looking_into_it,STAY
one,62923,65,0,659023,289,5,4,unsat,very_little,no,STAY
one,70436,258,68,666071,321,16,2,very_unsat,very_high,considering,LEAVE
one,70386,182,86,939612,269,15,2,very_unsat,very_little,actively_looking_into_it,STAY
zero,69499,0,55,784034,267,1,2,very_unsat,little,considering,STAY
zero,141086,77,86,157602,479,3,1,very_unsat,avg,considering,STAY
zero,128504,58,12,791309,838,4,5,very_sat,little,considering,LEAVE
one,157562,0,8,318249,759,0,4,unsat,high,actively_looking_into_it,STAY
zero,49451,61,9,180276,224,5,5,unsat,very_little,actively_looking_into_it,LEAVE
zero,131148,0,65,577837,202,1,2,unsat,very_little,actively_looking_into_it,LEAVE
zero,148732,71,41,295364,853,4,2,very_unsat,little,considering,LEAVE
one,38413,0,0,772086,159,0,15,very_unsat,very_high,no,LEAVE
one,55258,70,15,826926,250,5,6,very_sat,high,no,LEAVE
zero,34600,237,46,288535,169,22,1,very_unsat,very_high,actively_looking_into_it,LEAVE
one,32678,0,66,151069,220,1,1,very_unsat,very_little,considering,LEAVE
zero,70804,0,50,376553,841,26,2,very_unsat,avg,actively_looking_into_it,LEAVE
zero,27264,132,22,422869,176,17,5,very_sat,very_little,actively_looking_into_it,LEAVE
zero,140922,32,0,369157,748,5,10,very_unsat,little,considering,STAY
one,94987,57,13,886118,281,4,4,unsat,high,no,STAY
one,20573,43,0,662005,188,4,15,very_unsat,very_high,no,STAY
one,42100,125,0,966696,152,27,15,avg,very_high,actively_looking_into_it,LEAVE
zero,73805,55,49,267694,250,3,2,unsat,very_little,never_thought,LEAVE
one,28811,0,0,152072,823,19,15,very_unsat,very_little,considering,STAY
zero,114461,200,28,775618,596,14,1,very_sat,very_little,considering,LEAVE
one,21088,0,0,988788,214,0,9,very_unsat,little,no,STAY
one,35329,53,76,834713,228,4,1,very_unsat,very_high,actively_looking_into_it,STAY
zero,32683,165,60,223888,200,4,1,very_unsat,very_little,considering,LEAVE
one,38366,0,11,303773,199,1,5,unsat,very_high,never_thought,STAY
one,98902,268,22,481889,320,21,4,very_unsat,very_high,considering,LEAVE
zero,74323,41,0,770039,202,3,15,sat,little,never_thought,STAY
zero,156412,217,0,472922,690,12,13,unsat,little,considering,LEAVE
zero,95197,158,64,269167,355,12,2,very_unsat,little,actively_looking_into_it,LEAVE
zero,63168,227,0,248731,332,3,13,very_unsat,little,considering,LEAVE
zero,54270,162,17,331502,260,20,5,sat,very_high,considering,LEAVE
one,40819,0,23,214905,161,1,5,unsat,very_little,actively_looking_into_it,STAY
zero,62821,64,0,167837,379,22,9,very_unsat,very_high,considering,LEAVE
zero,119315,0,84,705764,753,1,1,very_unsat,very_little,considering,STAY
one,136460,42,0,219588,578,4,10,very_unsat,little,actively_looking_into_it,LEAVE
zero,47382,70,0,483153,222,1,15,very_unsat,very_high,considering,STAY
zero,112406,0,0,682332,590,0,1,very_sat,very_little,no,STAY
zero,85766,39,0,377998,369,4,4,very_sat,little,considering,STAY
one,20962,0,0,408394,194,0,9,very_sat,high,no,LEAVE
zero,79025,0,0,869070,361,1,8,very_unsat,very_high,considering,STAY
zero,102122,0,32,186813,460,0,2,unsat,very_little,considering,LEAVE
one,26858,86,0,413405,200,3,10,very_unsat,little,considering,LEAVE
zero,22060,232,0,860514,769,0,15,very_unsat,avg,considering,STAY
one,72334,0,0,848027,264,1,9,unsat,very_little,actively_looking_into_it,STAY
one,85612,202,18,458873,280,15,4,very_unsat,high,perhaps,STAY
one,126170,0,14,256305,634,3,4,avg,very_little,no,STAY
zero,142797,0,11,236155,594,0,6,avg,high,actively_looking_into_it,LEAVE
zero,159941,77,8,382517,801,3,4,very_sat,high,actively_looking_into_it,LEAVE
one,42274,72,89,231766,385,5,1,sat,very_little,actively_looking_into_it,LEAVE
one,100359,59,41,241683,781,5,2,very_unsat,very_high,considering,LEAVE
one,66755,53,71,228619,273,5,1,unsat,very_little,actively_looking_into_it,LEAVE
zero,52067,62,18,508720,302,5,5,avg,little,never_thought,STAY
one,86141,178,0,479562,305,26,9,very_unsat,very_little,never_thought,LEAVE
one,37607,56,18,841409,157,4,5,very_sat,little,never_thought,STAY
one,21417,226,0,250824,205,14,12,sat,very_high,never_thought,LEAVE
zero,133385,50,15,661086,686,3,6,unsat,little,considering,LEAVE
one,20684,0,20,272561,153,0,4,very_sat,high,no,STAY
one,135816,0,22,288510,834,0,6,very_unsat,high,considering,STAY
one,151657,0,10,387117,681,1,6,very_sat,little,considering,STAY
one,37063,61,0,293118,177,5,9,very_sat,very_high,actively_looking_into_it,LEAVE
one,50083,0,0,160335,266,5,10,unsat,very_high,considering,STAY
zero,41471,66,20,409138,248,4,4,very_sat,little,considering,LEAVE
zero,98070,0,13,234900,253,0,4,very_sat,avg,no,STAY
one,96674,0,70,480030,329,1,2,very_sat,very_high,perhaps,LEAVE
one,61033,0,8,278518,391,0,4,unsat,very_high,actively_looking_into_it,STAY
zero,116557,60,41,330371,886,4,2,very_sat,very_high,considering,LEAVE
zero,70291,0,0,993025,281,1,11,sat,little,no,LEAVE
one,124373,74,67,769041,830,12,1,very_unsat,little,perhaps,LEAVE
zero,93031,0,15,150498,363,1,4,very_unsat,very_high,never_thought,STAY
zero,68177,191,0,182919,375,15,15,very_sat,very_high,considering,LEAVE
zero,38595,0,13,633214,203,0,6,very_sat,high,considering,STAY
one,40368,0,0,233973,173,0,10,very_sat,very_high,never_thought,LEAVE
one,81898,0,26,277832,297,0,2,sat,little,considering,LEAVE
zero,91905,183,0,288499,371,15,11,very_sat,very_high,actively_looking_into_it,LEAVE
one,136869,194,10,217202,778,20,6,unsat,little,considering,LEAVE
one,32845,247,49,367980,247,16,1,sat,little,considering,LEAVE
one,145788,201,0,347088,522,20,13,very_unsat,very_little,actively_looking_into_it,LEAVE
one,113491,181,47,250175,623,14,2,very_unsat,very_high,perhaps,STAY
zero,126061,0,0,634326,597,0,11,very_unsat,very_high,considering,LEAVE
zero,75076,0,22,807913,283,1,4,very_unsat,very_high,considering,STAY
one,33670,0,0,728884,163,1,11,very_unsat,little,actively_looking_into_it,STAY
one,124162,230,89,203528,561,27,1,very_unsat,very_little,considering,LEAVE
one,22986,0,19,150696,821,0,4,avg,little,actively_looking_into_it,STAY
zero,51603,0,0,414054,322,1,8,very_unsat,little,considering,LEAVE
one,23010,236,7,546532,140,14,5,very_unsat,little,actively_looking_into_it,LEAVE
one,22297,0,9,154898,199,1,1,unsat,little,actively_looking_into_it,STAY
one,71676,188,11,586976,383,12,5,very_unsat,very_high,actively_looking_into_it,LEAVE
zero,134041,10,28,399805,849,5,2,very_sat,little,actively_looking_into_it,LEAVE
one,147401,0,0,419013,160,0,14,very_unsat,high,no,STAY
zero,87600,56,0,656944,361,3,14,very_sat,little,no,STAY
zero,129774,0,0,473615,291,0,14,very_sat,avg,considering,STAY
one,31731,75,23,700125,170,3,4,very_sat,little,never_thought,STAY
one,102620,61,16,203954,472,5,15,very_unsat,little,perhaps,STAY
zero,74505,66,17,200009,285,5,4,unsat,very_little,no,LEAVE
zero,22798,60,0,763645,181,4,10,avg,very_little,actively_looking_into_it,LEAVE
one,55768,202,19,282916,312,21,6,very_sat,little,never_thought,LEAVE
one,92167,151,55,158246,293,22,2,very_unsat,little,considering,STAY
zero,84298,53,0,857930,363,3,5,very_unsat,little,never_thought,LEAVE
zero,70386,0,11,368683,269,0,6,very_unsat,very_high,perhaps,LEAVE
zero,157643,40,15,199125,628,3,4,unsat,very_little,no,LEAVE
one,143929,86,0,222288,402,4,9,very_unsat,very_high,considering,LEAVE
one,37129,69,5,218554,140,3,6,very_unsat,little,considering,STAY
zero,88191,0,0,849235,391,4,4,very_sat,very_little,never_thought,LEAVE
zero,41321,0,0,216119,219,1,10,very_sat,very_high,no,LEAVE
zero,85172,0,23,280263,375,1,1,very_sat,little,never_thought,LEAVE
one,36408,204,7,415116,247,19,4,very_sat,little,considering,STAY
one,136465,184,66,649096,487,27,2,very_sat,very_high,considering,LEAVE
one,82576,211,5,937482,261,5,6,very_sat,very_high,considering,STAY
zero,42097,167,48,596052,207,12,1,very_sat,very_little,perhaps,LEAVE
zero,121528,171,11,650520,434,3,5,very_unsat,little,actively_looking_into_it,LEAVE
zero,34649,220,0,275229,224,18,15,very_sat,little,actively_looking_into_it,LEAVE
one,94164,44,15,775491,308,3,5,very_unsat,high,no,LEAVE
zero,140671,205,0,604757,701,19,15,very_unsat,little,considering,STAY
one,40931,52,86,499695,160,4,2,very_unsat,little,considering,LEAVE
one,45908,78,0,871902,204,4,6,avg,very_high,considering,STAY
zero,135741,35,13,254956,709,5,4,sat,little,never_thought,LEAVE
zero,24622,95,12,559073,244,3,5,very_unsat,very_little,perhaps,STAY
one,91188,219,0,789630,290,27,15,very_unsat,little,never_thought,LEAVE
one,75567,72,14,162420,271,3,6,very_unsat,very_little,no,STAY
zero,46060,39,0,572072,552,3,9,unsat,little,actively_looking_into_it,LEAVE
one,40726,90,28,214606,148,4,6,very_unsat,very_high,no,STAY
one,27909,0,22,216261,214,0,4,sat,high,considering,STAY
one,122952,82,81,196620,826,10,2,very_unsat,very_little,considering,STAY
one,23199,219,0,229223,137,20,6,very_sat,little,no,LEAVE
one,45867,0,8,589316,156,1,4,very_unsat,very_little,considering,LEAVE
one,36442,78,6,224155,223,3,4,avg,little,no,STAY
zero,109963,209,0,494462,378,29,11,very_unsat,little,perhaps,LEAVE
zero,132052,0,20,501866,762,0,6,very_sat,little,no,LEAVE
zero,46633,57,15,496161,231,5,5,very_unsat,little,perhaps,LEAVE
zero,73389,0,6,262153,383,0,6,very_unsat,very_little,actively_looking_into_it,STAY
one,69079,88,81,559764,333,5,2,very_unsat,little,no,LEAVE
one,139452,167,81,313280,556,15,2,very_sat,very_little,considering,STAY
one,108751,197,22,911875,429,13,5,very_sat,high,considering,LEAVE
one,132130,222,21,272181,544,23,6,very_unsat,little,actively_looking_into_it,LEAVE
zero,34766,79,6,999659,217,4,4,avg,little,actively_looking_into_it,STAY
zero,114706,0,5,448239,507,1,4,very_sat,very_little,actively_looking_into_it,STAY
zero,100480,0,21,791763,560,0,5,very_unsat,avg,actively_looking_into_it,STAY
one,36870,46,0,745996,165,4,10,very_unsat,high,perhaps,STAY
one,131074,47,0,901096,683,3,9,very_unsat,high,no,LEAVE
one,73868,70,22,183653,337,5,6,sat,little,never_thought,STAY
one,37023,197,0,796299,235,23,12,very_sat,very_high,considering,STAY
one,90696,48,24,159360,302,3,5,very_sat,very_little,actively_looking_into_it,LEAVE
one,51467,175,0,569885,375,28,12,very_unsat,very_little,considering,LEAVE
zero,54352,58,0,187449,383,5,14,unsat,very_little,no,STAY
one,42767,69,59,299796,194,5,2,very_unsat,high,no,LEAVE
one,119636,0,21,380874,414,1,5,very_sat,little,perhaps,STAY
one,40987,159,66,150330,151,27,2,very_unsat,little,actively_looking_into_it,LEAVE
zero,45126,0,25,883626,210,0,1,very_sat,very_high,considering,LEAVE
zero,155934,0,0,295450,610,1,10,very_unsat,little,considering,STAY
zero,35292,79,17,392043,167,3,5,very_unsat,very_high,considering,STAY
one,36004,273,45,176968,132,28,2,very_sat,little,considering,LEAVE
zero,114147,67,6,507986,550,5,4,very_unsat,little,actively_looking_into_it,STAY
zero,60928,209,0,257739,303,20,10,very_unsat,very_high,considering,STAY
zero,114511,71,22,874645,429,3,4,very_unsat,very_little,considering,STAY
one,75083,0,7,161320,254,0,6,very_unsat,little,no,STAY
one,48138,170,9,789829,148,28,4,very_unsat,little,considering,LEAVE
one,42821,0,75,247380,237,0,2,very_unsat,very_little,considering,LEAVE
zero,43022,61,0,289382,173,5,15,very_unsat,little,considering,STAY
one,57022,75,15,262863,374,4,5,unsat,little,no,LEAVE
one,145718,190,0,628030,514,17,12,unsat,little,considering,LEAVE
one,45413,0,0,275340,137,1,13,very_sat,little,no,STAY
zero,60608,0,23,316891,249,5,4,very_unsat,very_high,considering,STAY
one,129464,139,0,250838,675,21,1,very_unsat,very_high,considering,LEAVE
one,118395,44,84,838742,403,3,1,very_unsat,very_little,considering,LEAVE
zero,26962,0,18,922409,132,1,5,very_unsat,little,no,STAY
zero,62401,0,13,271645,384,0,5,very_unsat,little,considering,STAY
one,29411,0,12,620008,238,1,4,sat,little,actively_looking_into_it,STAY
one,66098,245,16,973549,326,14,6,very_sat,high,no,STAY
one,158491,0,0,210621,895,1,8,unsat,high,considering,LEAVE
zero,126154,42,0,842328,882,4,13,very_unsat,little,considering,STAY
zero,105572,41,9,714145,675,4,6,very_unsat,very_high,never_thought,LEAVE
zero,64585,184,9,942561,276,16,5,very_unsat,little,considering,STAY
zero,95324,0,13,301241,338,1,2,very_unsat,very_high,perhaps,STAY
one,30863,222,59,394149,254,28,1,sat,very_high,actively_looking_into_it,STAY
zero,144694,63,0,683897,550,4,14,unsat,little,considering,LEAVE
zero,129195,248,17,778394,867,22,6,very_unsat,very_little,actively_looking_into_it,LEAVE
one,157056,188,0,302882,444,5,9,very_unsat,very_little,no,LEAVE
one,84532,0,60,267801,381,0,1,unsat,little,no,LEAVE
one,117147,0,0,568598,835,1,14,very_unsat,very_high,actively_looking_into_it,STAY
one,33735,188,53,252645,240,27,1,very_unsat,avg,actively_looking_into_it,LEAVE
one,79786,209,18,691331,380,20,5,very_unsat,very_high,considering,STAY
zero,131848,198,19,943186,620,10,5,unsat,little,actively_looking_into_it,LEAVE
zero,152422,183,0,297585,654,25,8,very_unsat,very_little,actively_looking_into_it,LEAVE
one,151357,54,58,201063,539,3,1,sat,little,actively_looking_into_it,LEAVE
one,144131,193,23,237009,791,29,4,unsat,very_little,no,LEAVE
one,132488,46,0,366392,885,3,14,unsat,little,no,LEAVE
zero,159945,188,0,169027,569,12,11,unsat,high,actively_looking_into_it,LEAVE
one,153276,0,0,263545,750,0,12,unsat,little,considering,LEAVE
one,148574,243,41,784836,192,11,1,very_unsat,very_little,considering,STAY
zero,142631,46,9,507049,721,5,4,very_sat,very_little,no,LEAVE
zero,95981,200,57,590860,337,1,1,very_unsat,very_little,considering,STAY
one,71067,166,57,185446,380,22,1,very_sat,little,no,LEAVE
one,43894,0,21,407332,141,0,5,very_sat,little,no,LEAVE
one,75657,179,16,523544,338,24,6,very_unsat,high,considering,LEAVE
zero,27014,225,14,292352,130,22,4,unsat,little,no,LEAVE
zero,50133,0,0,201942,279,0,15,very_sat,little,actively_looking_into_it,STAY
one,22781,76,8,533608,158,4,5,very_unsat,very_high,considering,LEAVE
zero,94019,200,20,434937,294,18,6,very_unsat,very_little,no,LEAVE
one,38202,204,17,317873,546,11,13,very_sat,very_high,perhaps,LEAVE
zero,57169,0,21,236150,311,0,4,unsat,little,actively_looking_into_it,STAY
one,129057,0,10,485364,217,1,4,very_sat,very_high,perhaps,STAY
zero,149546,139,5,277681,872,28,5,sat,very_little,perhaps,LEAVE
one,78620,260,29,930797,621,13,2,very_unsat,avg,perhaps,STAY
zero,107666,0,24,310732,672,0,10,avg,little,considering,STAY
zero,130276,0,82,167431,763,1,1,very_unsat,little,actively_looking_into_it,LEAVE
zero,46647,66,0,310766,171,4,15,very_unsat,high,actively_looking_into_it,LEAVE
one,24551,53,0,937949,178,4,9,very_unsat,little,never_thought,STAY
zero,28052,89,0,699655,188,5,11,very_sat,high,actively_looking_into_it,STAY
one,112774,193,0,688775,506,28,13,very_unsat,little,considering,LEAVE
zero,153025,178,0,212283,208,20,14,very_sat,little,considering,LEAVE
zero,136807,60,0,385980,415,1,15,very_sat,very_high,considering,STAY
zero,43788,70,50,411166,225,5,1,very_sat,high,considering,LEAVE
zero,132789,235,20,786876,361,22,4,avg,very_little,considering,STAY
zero,30056,186,0,910269,625,16,12,very_sat,very_little,considering,STAY
one,102721,189,39,384962,549,23,1,unsat,high,never_thought,LEAVE
zero,67456,32,0,925177,144,5,12,very_unsat,little,never_thought,LEAVE
zero,66535,177,0,838754,391,0,13,avg,very_little,considering,STAY
one,34183,236,0,299752,221,28,13,very_unsat,very_high,actively_looking_into_it,STAY
one,117503,0,0,442175,328,0,12,very_unsat,very_little,considering,STAY
one,71393,196,81,262408,698,24,4,very_unsat,very_high,never_thought,LEAVE
one,53258,20,6,503398,324,3,5,very_unsat,very_little,actively_looking_into_it,STAY
one,38395,0,23,621153,247,0,6,very_unsat,very_little,actively_looking_into_it,STAY
zero,72045,213,0,381577,279,12,8,unsat,very_high,no,LEAVE
one,125887,0,0,234810,747,1,8,avg,very_little,no,LEAVE
one,20688,176,0,178852,145,20,10,avg,very_high,considering,LEAVE
zero,137788,0,0,444690,421,0,10,sat,little,considering,LEAVE
one,101466,0,51,182094,283,0,2,very_unsat,little,considering,LEAVE
one,47439,53,77,956081,192,3,2,very_unsat,high,considering,STAY
zero,83725,55,20,815943,310,5,4,very_sat,little,no,STAY
zero,44348,0,69,794334,201,0,1,unsat,very_high,considering,LEAVE
zero,75485,0,34,232237,328,3,2,unsat,avg,considering,STAY
zero,94280,88,68,161167,299,3,2,avg,very_little,considering,LEAVE
zero,76992,31,81,882804,338,3,6,very_unsat,very_high,considering,STAY
one,144174,0,35,999491,594,4,2,very_unsat,very_high,considering,STAY
zero,34126,0,68,615492,463,0,2,unsat,very_little,considering,STAY
